"","Price","Condo","Size","Rooms","Toilets","Suites","Parking","Elevator","Furnished","Swimming.Pool","New","Sale","District","Latitude","Longitude","Cluster_Silhouette"
"3189",1990,1035,85,3,3,1,2,"0","0","1","0",FALSE,"Tatuapé/São Paulo",-23.5482052,-46.568389,2
"2778",1500,480,125,3,2,0,1,"0","0","0","0",FALSE,"Tucuruvi/São Paulo",0,0,8
"12392",650000,710,79,3,2,1,1,"0","0","1","0",TRUE,"Vila Maria/São Paulo",-23.5174318,-46.5902835,2
"2024",2000,1150,85,2,2,1,1,"0","0","1","0",FALSE,"Pirituba/São Paulo",-23.500204,-46.752742,2
"6830",199000,250,40,2,2,1,1,"1","0","1","0",TRUE,"Vila Prudente/São Paulo",-23.602358,-46.551445,2
"3958",2900,0,70,3,2,1,1,"0","0","1","0",FALSE,"Sacomã/São Paulo",-23.6196403,-46.6072328,2
"12906",199000,220,45,2,1,0,1,"0","0","1","0",TRUE,"Parque do Carmo/São Paulo",-23.558566,-46.5137027,2
"7303",850000,675,70,2,2,1,2,"1","1","1","0",TRUE,"Moema/São Paulo",-23.602395,-46.659991,5
"3088",1200,0,50,2,1,0,1,"0","0","0","0",FALSE,"Itaquera/São Paulo",-23.5522179,-46.459416,4
"5923",333300,0,62,3,2,0,1,"1","0","1","1",TRUE,"Vila Maria/São Paulo",-23.5093,-46.605727,2
"5944",270000,394,66,2,2,1,1,"0","1","1","0",TRUE,"Medeiros/São Paulo",-23.184943,-46.985017,2
"10916",1600,487,65,3,1,0,1,"0","0","1","0",FALSE,"Limão/São Paulo",-23.4918022,-46.6812483,2
"11885",530000,650,34,1,2,1,1,"0","0","1","0",TRUE,"Pinheiros/São Paulo",-23.564716,-46.695265,2
"9970",1900,1300,93,3,3,1,2,"1","1","1","0",FALSE,"Morumbi/São Paulo",-23.622671,-46.735756,5
"5607",400000,380,53,2,2,1,1,"0","0","1","0",TRUE,"Pari/São Paulo",-23.52529,-46.603235,2
"8433",563000,0,70,2,2,1,1,"1","0","1","0",TRUE,"Liberdade/São Paulo",-23.5621468,-46.6335596,2
"4849",4999,900,143,3,4,3,2,"0","0","1","0",FALSE,"Vila Leopoldina/São Paulo",-23.5280004,-46.7325504,7
"12197",425000,400,60,3,2,1,1,"0","0","1","0",TRUE,"Casa Verde/São Paulo",-23.5054645,-46.6711,2
"6434",219000,250,56,2,2,1,1,"0","0","0","0",TRUE,"Lajeado/São Paulo",-23.512865,-46.436892,6
"6061",327000,330,55,2,2,1,1,"1","0","1","0",TRUE,"Belém/São Paulo",-23.536404,-46.594926,2
"11417",280000,380,52,2,2,1,1,"1","0","0","0",TRUE,"Cangaíba/São Paulo",-23.508439,-46.530778,1
"5982",750000,1200,118,3,3,1,2,"1","1","0","0",TRUE,"Água Rasa/São Paulo",-23.559367,-46.570636,1
"10790",10000,3500,250,2,3,2,3,"0","0","1","0",FALSE,"Vila Mariana/São Paulo",-23.5806105,-46.651978,7
"11948",620000,650,94,3,2,1,2,"0","0","1","0",TRUE,"Barra Funda/São Paulo",-23.5270311,-46.6508283,2
